registry_club_id,organism,affiliation_code,sport_year_start,sport_year_end
coni:107545,CSI|FIGC,940795,01/07/2025,30/06/2026
coni:107621,FIGC,937770,01/07/2025,30/06/2026
coni:107624,FIGC,945434,01/07/2025,30/06/2026
coni:107630,FIGC,946073,01/07/2025,30/06/2026
coni:107693,FIGC,937729,01/07/2025,30/06/2026
coni:107695,FIGC,918058,01/07/2025,30/06/2026
coni:10776,FIGC,949763,01/07/2025,30/06/2026
coni:107762,FIGC,936031,01/07/2025,30/06/2026
coni:10777,FIGC,915602,01/07/2025,30/06/2026
coni:1078,FIGC,936148,01/07/2025,30/06/2026
coni:107806,FIGC,620481,01/07/2025,30/06/2026
coni:10781,FIGC,700443,01/07/2025,30/06/2026
coni:107839,FIGC,910314,01/07/2025,30/06/2026
coni:10790,FIGC,81733,01/07/2025,30/06/2026
coni:107956,FIGC,948202,01/07/2025,30/06/2026
coni:10803,FIGC,700425,01/07/2025,30/06/2026
coni:10808,FIGC,710136,01/07/2025,30/06/2026
coni:108084,AICS|FIGC,942980,01/07/2025,30/06/2026
coni:108127,FIGC,937890,01/07/2025,30/06/2026
coni:108172,FIGC,943554,01/07/2025,30/06/2026
coni:108214,CSEN|FIGC,937818,01/07/2025,30/06/2026
coni:108296,FIGC|UISP,945314,01/07/2025,30/06/2026
coni:10832,FIGC,500197,01/07/2025,30/06/2026
coni:10836,FIGC,76597,01/07/2025,30/06/2026
coni:10839,FIGC,202249,01/07/2025,30/06/2026
coni:1084,FIGC,954937,01/07/2025,30/06/2026
coni:108404,ASC|CSI|FIGC|UISP,964679,16/09/2025,30/06/2026
coni:108549,FIGC,943789,01/07/2025,30/06/2026
coni:108706,FIGC,941137,01/07/2025,30/06/2026
coni:108711,FIGC,675638,01/07/2025,30/06/2026
coni:108720,CSI|FIGC,943281,01/07/2025,30/06/2026
coni:108771,CSI|FIGC,943177,01/07/2025,30/06/2026
coni:108785,CSEN|FIGC,943788,01/07/2025,30/06/2026
coni:10887,CSI|FIGC,917787,01/07/2025,30/06/2026
coni:108893,FIGC,944043,01/07/2025,30/06/2026
coni:108966,CSI|FIGC,945339,01/07/2025,30/06/2026
coni:109070,FIGC,947430,01/07/2025,30/06/2026
coni:1091,AICS|CSEN|FIGC,780351,01/07/2025,30/06/2026
coni:109214,CSEN|FIGC,964327,01/07/2025,30/06/2026
coni:10923,CSI|FIGC,76644,01/07/2025,30/06/2026
coni:109271,FIGC,964653,15/09/2025,30/06/2026
coni:109275,CSEN|FIGC,948369,01/07/2025,30/06/2026
coni:109288,CSEN|FIGC,948306,01/07/2025,30/06/2026
coni:109320,FIGC,947808,01/07/2025,30/06/2026
coni:109367,FIGC|US_ACLI,949241,01/07/2025,30/06/2026
coni:109401,FIGC|UISP|US_ACLI,912773,01/07/2025,30/06/2026
coni:109611,CSI|FIGC,936276,01/07/2025,30/06/2026
coni:10969,AICS|FIGC,937940,01/07/2025,30/06/2026
coni:10977,FIGC,640072,01/07/2025,30/06/2026
coni:10981,FIGC,932338,01/07/2025,30/06/2026
coni:10983,FIGC,964173,01/07/2025,30/06/2026
coni:10987,FIGC,202285,01/07/2025,30/06/2026
coni:110007,CSI|FIGC|FIP,71402,01/07/2025,30/06/2026
coni:110017,FIGC,915929,01/07/2025,30/06/2026
coni:110028,FIGC,80134,01/07/2025,30/06/2026
coni:110048,FIGC,941083,01/07/2025,30/06/2026
coni:110065,CSEN|FIGC,620670,01/07/2025,30/06/2026
coni:110090,FIGC,66694,01/07/2025,30/06/2026
coni:110109,FIGC,912335,01/07/2025,30/06/2026
coni:110114,FIGC,81421,01/07/2025,30/06/2026
coni:11013,FIGC,917181,01/07/2025,30/06/2026
coni:11015,CSI|FIGC,04300287,05/07/2025,30/06/2026
coni:11018,CSEN|FIGC,932720,01/07/2025,30/06/2026
coni:110182,FIGC,931217,01/07/2025,30/06/2026
coni:110299,FIGC,916318,01/07/2025,30/06/2026
coni:110430,FIGC,941098,01/07/2025,30/06/2026
coni:110441,FIGC,935145,01/07/2025,30/06/2026
coni:110461,FIGC,916491,01/07/2025,30/06/2026
coni:110466,FIGC,963802,01/07/2025,30/06/2026
coni:110467,AICS|FIGC,955345,01/07/2025,30/06/2026
coni:110526,ASC|FIGC,917736,01/07/2025,30/06/2026
coni:110538,FIGC,941135,01/07/2025,30/06/2026
coni:11061,FIGC,920778,01/07/2025,30/06/2026
coni:110661,ASC|FIGC,946013,01/07/2025,30/06/2026
coni:11067,FIGC,919055,01/07/2025,30/06/2026
coni:110672,FIGC,950014,01/07/2025,30/06/2026
coni:110683,FIGC,946169,01/07/2025,30/06/2026
coni:110840,FIGC,964314,05/08/2025,30/06/2026
coni:110888,CSEN|FIGC,941711,01/07/2025,30/06/2026
coni:11109,CSI|FIGC,912800,01/07/2025,30/06/2026
coni:11111,FIGC,730526,01/07/2025,30/06/2026
coni:11115,CSEN|FIGC,949669,01/07/2025,30/06/2026
coni:111167,FIGC,940967,01/07/2025,30/06/2026
coni:111385,FIGC,962584,01/07/2025,30/06/2026
coni:111386,CSI|FIGC|PGS,70200032,05/07/2025,30/06/2026
coni:11142,FIGC,75894,01/07/2025,30/06/2026
coni:11161,FIGC,1890,01/07/2025,30/06/2026
coni:111629,FIGC|PGS,206260,01/07/2025,30/06/2026
coni:111649,CSI|FIGC,941191,01/07/2025,30/06/2026
coni:1117,FIGC,79902,01/07/2025,30/06/2026
coni:111750,CSI|FIGC,962147,01/07/2025,30/06/2026
coni:112,AICS|FIGC,62724,01/07/2025,30/06/2026
coni:1121,FIGC|UISP,52620,01/07/2025,30/06/2026
coni:11219,FIGC,930557,01/07/2025,30/06/2026
coni:112193,FIGC,205257,01/07/2025,30/06/2026
coni:11228,FIGC,71876,01/07/2025,30/06/2026
coni:11239,FIGC,920715,01/07/2025,30/06/2026
coni:11240,FIGC,954056,01/07/2025,30/06/2026
coni:112412,AICS|FIGC,945193,01/07/2025,30/06/2026
coni:112445,FIGC,940925,01/07/2025,30/06/2026
coni:112453,AICS|FIGC,76766,01/07/2025,30/06/2026
coni:112467,FIGC,943369,01/07/2025,30/06/2026
coni:11247,FIGC,920725,01/07/2025,30/06/2026
coni:11248,FIGC,920793,01/07/2025,30/06/2026
coni:112489,FIGC,945104,01/07/2025,30/06/2026
coni:11267,AICS|CSI|FIGC,932554,01/07/2025,30/06/2026
coni:1127,FIGC,795242,01/07/2025,30/06/2026
coni:112701,FIGC,912898,01/07/2025,30/06/2026
coni:11279,CSI|FIGC,,,
coni:112790,FIGC,676141,01/07/2025,30/06/2026
coni:1128,FIGC,964227,01/07/2025,30/06/2026
coni:11281,FIGC,1270,01/07/2025,30/06/2026
coni:11282,AICS|FIGC,32020,01/07/2025,30/06/2026
coni:11284,FIGC,935733,01/07/2025,30/06/2026
coni:11286,FIGC,952760,01/07/2025,30/06/2026
coni:112861,FIGC,202140,01/07/2025,30/06/2026
coni:112862,CSI|FIGC|PGS,943022,01/07/2025,30/06/2026
coni:11287,AICS|ENDAS|FIGC|UISP,936875,01/07/2025,30/06/2026
coni:11290,FIGC,700061,01/07/2025,30/06/2026
coni:112906,FIGC,953077,01/07/2025,30/06/2026
coni:112933,FIGC,912039,01/07/2025,30/06/2026
coni:112943,FIGC,943160,01/07/2025,30/06/2026
coni:112964,FIGC|UISP,947031,01/07/2025,30/06/2026
coni:113092,FIGC|FIP|PGS,740366,01/07/2025,30/06/2026
coni:113140,CSI|FIGC,913836,01/07/2025,30/06/2026
coni:11319,ASC|FIGC|FIP,32520,01/07/2025,30/06/2026
coni:113295,FIGC,911690,01/07/2025,30/06/2026
coni:113332,ASC|FIGC,964556,07/10/2025,30/06/2026
coni:113386,AICS|FIGC|US_ACLI,935039,01/07/2025,30/06/2026
coni:113505,FIGC,79622,01/07/2025,30/06/2026
coni:113528,FIGC,920142,01/07/2025,30/06/2026
coni:113532,CSI|FIGC,77891,01/07/2025,30/06/2026
coni:11355,FIGC,67546,01/07/2025,30/06/2026
coni:113573,FIGC,75360,01/07/2025,30/06/2026
coni:11359,FIGC,937790,01/07/2025,30/06/2026
coni:113605,FIGC,932313,01/07/2025,30/06/2026
coni:113609,FIGC|US_ACLI,953808,01/07/2025,30/06/2026
coni:113713,CSEN|FIGC,935067,01/07/2025,30/06/2026
coni:113743,FIGC,945239,01/07/2025,30/06/2026
coni:11378,AICS|FIGC,947185,01/07/2025,30/06/2026
coni:113790,CSI|FIGC,933434,01/07/2025,30/06/2026
coni:113817,ASC|FIGC,740233,01/07/2025,30/06/2026
coni:113823,FIGC|PGS,936686,01/07/2025,30/06/2026
coni:113871,FIGC,913819,01/07/2025,30/06/2026
coni:113897,FIGC,931695,01/07/2025,30/06/2026
coni:113909,ASC|FIGC,16966,28/01/2026,31/12/2026
coni:11392,FIGC,630204,01/07/2025,30/06/2026
coni:113924,CSI|FIGC,918441,01/07/2025,30/06/2026
coni:113952,FIGC,944118,01/07/2025,30/06/2026
coni:114,FIGC,63000,01/07/2025,30/06/2026
coni:11403,FIGC,630460,01/07/2025,30/06/2026
coni:114037,AICS|FIGC,964993,22/10/2025,30/06/2026
coni:114117,CSI|FIGC|UISP,675965,01/07/2025,30/06/2026
coni:11418,FIGC,69467,01/07/2025,30/06/2026
coni:114185,CSI|FIGC,936700,01/07/2025,30/06/2026
coni:114276,FIGC,936786,01/07/2025,30/06/2026
coni:1143,FIGC,750414,01/07/2025,30/06/2026
coni:114313,CSI|FIGC,943091,01/07/2025,30/06/2026
coni:114333,FIGC,944507,01/07/2025,30/06/2026
coni:114344,FIGC|FIP,944172,01/07/2025,30/06/2026
coni:11435,FIGC,915925,01/07/2025,30/06/2026
coni:114350,FIGC,944230,01/07/2025,30/06/2026
coni:114356,ASC|FIGC,740273,01/07/2025,30/06/2026
coni:11437,FIGC,72579,01/07/2025,30/06/2026
coni:11438,FIGC,934078,01/07/2025,30/06/2026
coni:114397,AICS|FIGC,964645,08/09/2025,30/06/2026
coni:114401,CSI|FIGC,945215,01/07/2025,30/06/2026
coni:114402,AICS|FIGC,945584,01/07/2025,30/06/2026
coni:114449,FIGC,910615,01/07/2025,30/06/2026
coni:114491,ASC|FIGC,740271,01/07/2025,30/06/2026
coni:114528,CSI|FIGC|UISP|US_ACLI,100048,01/07/2025,30/06/2026
coni:114533,FIGC,740287,01/07/2025,30/06/2026
coni:114756,FIGC,675590,01/07/2025,30/06/2026
coni:114779,FIGC,916950,01/07/2025,30/06/2026
coni:11478,FIGC,204226,01/07/2025,30/06/2026
coni:11486,FIGC,955223,01/07/2025,30/06/2026
coni:114864,FIGC,953542,01/07/2025,30/06/2026
coni:114865,CSI|FIGC,204321,01/07/2025,30/06/2026
coni:114878,ASC|FIGC,919704,01/07/2025,30/06/2026
coni:114916,CSI|FIGC,02001560,07/07/2025,30/06/2026
coni:114945,ASC|FIGC,931617,01/07/2025,30/06/2026
coni:1150,AICS|FIGC,780529,01/07/2025,30/06/2026
coni:115056,ASC|FIGC,933148,01/07/2025,30/06/2026
coni:115082,ASC|FIGC,935316,01/07/2025,30/06/2026
coni:115090,ASC|FIGC,932949,01/07/2025,30/06/2026
